"city","address_id","street1","street2","zipcode","state","po_box","lat","lng","formatted_address"
"Danville",0,"115 Woodbine Lane","","17821","PA","",40.9620436,-76.5735633,"115 Woodbine Ln, Danville, PA 17821, USA"
"Danville",1,"100 N Academy Ave","","17822","PA","",40.9678097,-76.6052513,"100 N Academy Ave, Danville, PA 17822, USA"
"Milton",2,"964 Carpenter Rd","","17847","PA","",41.0064339,-76.8275869,"964 Carpenter Rd, Milton, PA 17847, USA"
"Milton",3,"155 S Arch St Ste B","","17847","PA","",41.0176761,-76.8536347,"155 S Arch St b, Milton, PA 17847, USA"
"Northumberland",4,"112 Ironstone Dr","","17857","PA","",40.9082178,-76.7905638,"Ironstone Dr, Northumberland, PA 17857, USA"
"Bloomsburg",5,"2407 Reichart Rd","","17815","PA","",41.024146,-76.421015,"2407 Reichart Rd, Bloomsburg, PA 17815, USA"
"Bloomsburg",6,"6850 Lows Rd","","17815","PA","",41.03304,-76.3527359,"6850 Lows Rd, Bloomsburg, PA 17815, USA"
"Millville",7,"515 Jerseytown Rd","","17846","PA","",41.1046095,-76.5533426,"515 Jerseytown Rd, Millville, PA 17846, USA"
"Elysburg",8,"289 S Market St","","17824","PA","",40.8607863,-76.547633,"289 S Market St, Elysburg, PA 17824, USA"
"Elysburg",9,"106 S Market St","","17824","PA","",40.8559406,-76.543771,"106 S Market St, Elysburg, PA 17824, USA"
"Watsontown",10,"12560 State Route 405","","17777","PA","",41.1366678,-76.8783648,"12560 PA-405, Watsontown, PA 17777, USA"
"Sunbury",11,"409 N 4th St","","17801","PA","",40.866181,-76.7884511,"409 N 4th St, Sunbury, PA 17801, USA"
"Sunbury",12,"385 State St","","17801","PA","",40.8590854,-76.7699028,"385 State St, Sunbury, PA 17801, USA"
"Shamokin Dam",13,"3057 N Susquehanna Trl","PO Box 310","17876","PA","310",40.8473243,-76.8219881,"3057 N Susquehanna Trail, Shamokin Dam, PA 17876, USA"
"Catawissa",14,"353 Main St","","17820","PA","",40.952454,-76.460098,"353 Main St, Catawissa, PA 17820, USA"
"Muncy",15,"10 Shady Ln Ste 103","","17756","PA","",41.2126681,-76.7747208,"10 Shady Ln #103, Muncy, PA 17756, USA"
"Lewisburg",16,"3 Hospital Dr Ste 102","","17837","PA","",40.979254,-76.887988,"3 Hospital Dr #102, Lewisburg, PA 17837, USA"
"Lewisburg",17,"3 Hospital Dr Ste 214","","17837","PA","",40.979254,-76.887988,"3 Hospital Dr #214, Lewisburg, PA 17837, USA"
"Lewisburg",18,"131 Jpm Rd","","17837","PA","",40.9760164,-76.8923868,"131 JPM Rd, Lewisburg, PA 17837, USA"
"Lewisburg",19,"250 Reitz Blvd","","17837","PA","",40.9612662,-76.9106289,"250 Reitz Blvd, Lewisburg, PA 17837, USA"
"Lewisburg",20,"3 Hospital Dr Ste 206","","17837","PA","",40.979254,-76.887988,"3 Hospital Dr #206, Lewisburg, PA 17837, USA"
"Selinsgrove",21,"935 Route 522","","17870","PA","",40.8072354,-76.8768056,"935 Rte 522, Selinsgrove, PA 17870, USA"
"Selinsgrove",22,"21 Susquehanna Valley Mall Dr Ste A","","17870","PA","",40.8200908,-76.8489877,"21 Susquehanna Valley Mall Dr a, Selinsgrove, PA 17870, USA"
"Selinsgrove",23,"201 Roosevelt Ave","","17870","PA","",40.829411,-76.8498308,"201 Roosevelt Ave, Selinsgrove, PA 17870, USA"
"Kulpmont",24,"119 Nevada Dr","","17834","PA","",40.7867136,-76.4554678,"119 Nevada Dr, Kulpmont, PA 17834, USA"
"Hughesville",25,"246 S Main St","","17737","PA","",41.2377671,-76.7281004,"246 S Main St, Hughesville, PA 17737, USA"
"Montoursville",26,"1500 Broad St","","17754","PA","",41.246248,-76.900957,"1500 Broad St, Montoursville, PA 17754, USA"
"Montoursville",27,"780 Broad St Ste 4","","17754","PA","",41.2473303,-76.9157777,"780 Broad St #4, Montoursville, PA 17754, USA"
"Montoursville",28,"900 Plaza Dr","","17754","PA","",41.2465172,-76.9125213,"900 Plaza Dr, Montoursville, PA 17754, USA"
"Montoursville",29,"900 Plaza Dr Ste A","","17754","PA","",41.2465172,-76.9125213,"900 Plaza Dr a, Montoursville, PA 17754, USA"
"Mifflinburg",30,"101 Meadow Green Dr","","17844","PA","",40.9252785,-77.03244,"101 Meadow Green Dr, Mifflinburg, PA 17844, USA"
"Mifflinburg",31,"137 Forest Hill Rd","","17844","PA","",40.924845,-77.040237,"137 Forest Hill Rd, Mifflinburg, PA 17844, USA"
"Berwick",32,"2200 W Front St","","18603","PA","",41.0469177,-76.2744733,"2200 W Front St, Berwick, PA 18603, USA"
"Herndon",33,"1244 Hwy 225","","17830","PA","",40.6666035,-76.8307322,"1244 PA-225, Herndon, PA 17830, USA"
"Williamsport",34,"699 Hastings St","","17702","PA","",41.2286101,-76.9901071,"699 Hastings St, South Williamsport, PA 17702, USA"
"Williamsport",35,"145 Shaffer St","","17702","PA","",41.2243353,-77.036335,"145 Shaffer St, Duboistown, PA 17702, USA"
"Benton",36,"4469 Red Rock Rd","","17814","PA","",41.209378,-76.378058,"4469 Red Rock Rd, Benton, PA 17814, USA"
"Williamsport",37,"740 High St Ste 4001","","17701","PA","",41.2453566,-77.0164029,"740 High St #4001, Williamsport, PA 17701, USA"
"Williamsport",38,"1205 River Ave 1st Fl","","17701","PA","",41.2530359,-76.9814205,"1205 River Ave, Williamsport, PA 17701, USA"
"Williamsport",39,"1205 River Ave 2nd Fl","","17701","PA","",41.2530359,-76.9814205,"1205 River Ave, Williamsport, PA 17701, USA"
"Williamsport",40,"904 Campbell St Ste 202","","17701","PA","",41.2488063,-77.0178881,"904 Campbell St #202, Williamsport, PA 17701, USA"
"Williamsport",41,"1205 Grampian Blvd Ste 3C","","17701","PA","",41.2608076,-76.9820487,"1205 Grampian Blvd #3c, Williamsport, PA 17701, USA"
"Williamsport",42,"1705 Warren Ave Ste 303","","17701","PA","",41.2601079,-76.9813915,"1705 Warren Ave #303, Williamsport, PA 17701, USA"
"Williamsport",43,"700 High St 9th Fl","","17701","PA","",41.2469994,-77.01541,"700 High St, Williamsport, PA 17701, USA"
"Williamsport",44,"904 Campbell St Ste 102","","17701","PA","",41.2488063,-77.0178881,"904 Campbell St #102, Williamsport, PA 17701, USA"
"Middleburg",45,"412 W Market St","","17842","PA","",40.794099,-77.0542959,"412 W Market St, Middleburg, PA 17842, USA"
"Middleburg",46,"1 Dock Hill Rd","","17842","PA","",40.789767,-77.031468,"1 Dock Hill Rd, Middleburg, PA 17842, USA"
"Valley View",47,"105 W Main St","","17983","PA","",40.647506,-76.520278,"105 W Main St, Valley View, PA 17983, USA"
"Frackville",48,"701 W Oak St","PO Box 506","17931","PA","506",40.7817052,-76.2415429,"701 W Oak St, Frackville, PA 17931, USA"
"Lykens",49,"517 South St","","17048","PA","",40.565485,-76.702887,"517 South St, Lykens, PA 17048, USA"
"Mount Pleasant Mills",50,"9627 Hwy 35 Ste 10","","17853","PA","",40.721536,-77.022088,"9627 PA-35 #10, Mt Pleasant Mills, PA 17853, USA"
"Pottsville",51,"529 Terry Reiley Way","","17901","PA","",40.6904848,-76.1969338,"529 Terry Reiley Way, Pottsville, PA 17901, USA"
"Mahanoy City",52,"31 S Main St","","17948","PA","",40.8119968,-76.141467,"31 S Main St, Mahanoy City, PA 17948, USA"
"Elizabethville",53,"282 W Main St","","17023","PA","",40.547392,-76.819368,"282 W Main St, Elizabethville, PA 17023, USA"
"Nanticoke",54,"128 E Main St","","18634","PA","",41.205763,-76.002461,"128 E Main St, Nanticoke, PA 18634, USA"
"Hazleton",55,"426 Airport Rd","","18202","PA","",40.9848377,-76.0207603,"426 Airport Rd, Hazleton, PA 18202, USA"
"Halifax",56,"101 Fisher St","","17032","PA","",40.4714674,-76.9331106,"101 Fisher St, Halifax, PA 17032, USA"
"Mountain Top",57,"35 S Mountain Blvd","","18707","PA","",41.160319,-75.887541,"35 S Mountain Blvd, Mountain Top, PA 18707, USA"
"Orwigsburg",58,"300 Hollywood Blvd","","17961","PA","",40.6412297,-76.089902,"300 Hollywood Blvd, Orwigsburg, PA 17961, USA"
"Kingston",59,"499 Wyoming Ave","","18704","PA","",41.2677562,-75.889902,"499 Wyoming Ave, Kingston, PA 18704, USA"
"Dallas",60,"114 Lt Michael Cleary Dr","","18612","PA","",41.3310082,-75.9495163,"114 Lt. Michael Cleary Dr, Dallas, PA 18612, USA"
"Harrisburg",61,"1199 Colonial Rd","","17112","PA","",40.3160979,-76.821917,"1199 Colonial Rd, Harrisburg, PA 17112, USA"
"Wilkes Barre",62,"836 N Washington St","","18705","PA","",41.260422,-75.857427,"836 N Washington St, Wilkes-Barre, PA 18705, USA"
"Wilkes Barre",63,"50 Roosevelt Ter","","18702","PA","",41.236502,-75.909663,"50 Roosevelt Terrace, Wilkes-Barre, PA 18702, USA"
"Wilkes Barre",64,"175 S Wilkes Barre Blvd","","18702","PA","",41.2401303,-75.8835983,"175 S Wilkes-Barre Blvd, Wilkes-Barre, PA 18702, USA"
"Lock Haven",65,"955 Bellefonte Ave","","17745","PA","",41.1301208,-77.4654108,"955 Bellefonte Ave, Lock Haven, PA 17745, USA"
"Lock Haven",66,"610 High St","","17745","PA","",41.1292676,-77.465646,"610 High St, Lock Haven, PA 17745, USA"
"Mifflintown",67,"2813 Industrial Park Rd","","17059","PA","",40.583386,-77.368658,"2813 Industrial Park Rd, Mifflintown, PA 17059, USA"
"Mifflintown",68,"27 Cjems Ln Ste 4","","17059","PA","",40.5766289,-77.381093,"27 CJEMS Ln #4, Mifflintown, PA 17059, USA"
"Spring Mills",69,"3631 Penns Valley Rd","","16875","PA","",40.8492252,-77.605541,"3631 Penns Valley Rd, Spring Mills, PA 16875, USA"
"Harrisburg",70,"2850 Commerce Dr Ste 300","","17110","PA","",40.3120886,-76.8364952,"2850 Commerce Dr #300, Harrisburg, PA 17110, USA"
"Mifflin",71,"56 Jam House Rd","","17058","PA","",40.55805,-77.414272,"56 Jam House Rd, Mifflin, PA 17058, USA"
"Harrisburg",72,"4830 Londonderry Rd","","17109","PA","",40.2847859,-76.807261,"4830 Londonderry Rd, Harrisburg, PA 17109, USA"
"Pittston",73,"42 N Main St","","18640","PA","",41.3241534,-75.7899351,"42 N Main St, Pittston, PA 18640, USA"
"Hershey",74,"3003 Elizabethtown Rd","","17033","PA","",40.2347943,-76.6243163,"3003 Elizabethtown Rd, Hershey, PA 17033, USA"
"Tunkhannock",75,"10 Trieble Dr Ste 3","","18657","PA","",41.559731,-75.968431,"10 Treible Dr #3, Tunkhannock, PA 18657, USA"
"Harrisburg",76,"225 N Front St","","17113","PA","",40.236396,-76.843463,"225 N Front St, Steelton, PA 17113, USA"
"Harrisburg",77,"30 S Front St","","17113","PA","",40.2342786,-76.8395944,"30 S Front St, Steelton, PA 17113, USA"
"Moosic",78,"4004 Birney Ave","","18507","PA","",41.3703357,-75.71102,"4004 Birney Ave, Moosic, PA 18507, USA"
"Moosic",79,"532 Main St Ste 1","","18507","PA","",41.35539,-75.732417,"532 Main St #1, Moosic, PA 18507, USA"
"Lewistown",80,"21 Geisinger Ln","","17044","PA","",40.6014804,-77.5576185,"21 Geisinger Ln, Lewistown, PA 17044, USA"
"Reedsville",81,"96 Kish Rd","","17084","PA","",40.686745,-77.5949134,"96 Kish Rd, Reedsville, PA 17084, USA"
"Bellefonte",82,"819 E Bishop St","","16823","PA","",40.9142544,-77.7637836,"819 E Bishop St, Bellefonte, PA 16823, USA"
"Bellefonte",83,"141 Medical Park Ln","","16823","PA","",40.9162939,-77.7483169,"141 Medical Park Ln, Bellefonte, PA 16823, USA"
"New Cumberland",84,"503 Bridge St","","17070","PA","",40.2286989,-76.8673075,"503 Bridge St, New Cumberland, PA 17070, USA"
"Clarks Summit",85,"231 Northern Blvd Ste 3","","18411","PA","",41.468655,-75.67443,"231 Northern Blvd #3, Clarks Summit, PA 18411, USA"
"Clarks Summit",86,"790 Northern Blvd Ste K","","18411","PA","",41.4788845,-75.685192,"790 Northern Blvd # K, South Abington Township, PA 18411, USA"
"Scranton",87,"743 S Main Ave","","18504","PA","",41.4036764,-75.6861531,"743 S Main Ave, Scranton, PA 18504, USA"
"Scranton",88,"2232 Pittston Ave","","18505","PA","",41.3850793,-75.6814024,"2232 Pittston Ave, Scranton, PA 18505, USA"
"Scranton",89,"531 Mt Pleasant Dr","","18503","PA","",41.4183746,-75.6719529,"531 Mount Pleasant Dr, Scranton, PA 18503, USA"
"Scranton",90,"1140 Quincy Ave","","18510","PA","",41.4156446,-75.6453211,"1140 Quincy Ave, Dunmore, PA 18510, USA"
"Scranton",91,"128 W Market St","","18508","PA","",41.4384679,-75.6579597,"128 W Market St, Scranton, PA 18508, USA"
"Loysville",92,"1100 Montour Rd","","17047","PA","",40.3634891,-77.3401154,"1100 Montour Rd, Loysville, PA 17047, USA"
"Lewisberry",93,"689 Yorktown Rd","","17339","PA","",40.1612311,-76.8270706,"689 Yorktown Rd, Lewisberry, PA 17339, USA"
"State College",94,"200 Scenery Dr","","16801","PA","",40.7850699,-77.8199593,"200 Scenery Dr, State College, PA 16801, USA"
"Belleville",95,"5 Hedgeapple Dr","","17004","PA","",40.6387675,-77.6567198,"Hedgeapple Dr, Belleville, PA 17004, USA"
"Olyphant",96,"221 River St","","18447","PA","",41.471914,-75.6037,"221 N River St, Olyphant, PA 18447, USA"
"Jessup",97,"407 3rd Ave","","18434","PA","",41.4741594,-75.5711605,"407 3rd Ave, Jessup, PA 18434, USA"
"Peckville",98,"320 Keystone Ave","","18452","PA","",41.480224,-75.582863,"320 Keystone Ave, Peckville, PA 18452, USA"
"Nicholson",99,"Rt 11 Lackawanna Trl","","18446","PA","",41.6264571,-75.7786622,"11 Lackawanna Trail, Factoryville, PA 18419, USA"
"Honesdale",100,"3306 Lake Ariel Hwy","","18431","PA","",41.541836,-75.252545,"3306 Lake Ariel Hwy, Honesdale, PA 18431, USA"
"Mount Pocono",101,"126 Market Way","","18344","PA","",41.1266276,-75.3741474,"126 Market Way, Mt Pocono, PA 18344, USA"
"Huntingdon",102,"3228 Cold Springs Rd","","16652","PA","",40.5122867,-78.0088102,"3228 Cold Springs Rd, Huntingdon, PA 16652, USA"
"State College",103,"2520 Green Tech Dr","","16803","PA","",40.813009,-77.9184974,"2520 Green Tech Dr, State College, PA 16803, USA"
"State College",104,"1850 E Park Ave Ste 301","","16803","PA","",40.8205424,-77.8450522,"1850 E Park Ave #301, State College, PA 16803, USA"
"State College",105,"1700 Old Gatesburg Rd Ste 310","","16803","PA","",40.7824222,-77.8867487,"1700 Old Gatesburg Rd #310, State College, PA 16803, USA"
"Port Matilda",106,"132 Abigail Ln","","16870","PA","",40.814253,-77.941982,"132 Abigail Ln, Port Matilda, PA 16870, USA"
"Philipsburg",107,"210 Medical Center Dr","","16866","PA","",40.9074282,-78.2083287,"210 Medical Center Dr, Philipsburg, PA 16866, USA"
"Danville",108,"500 Mill St Ate A1","","17821","PA","",40.9652029,-76.6161917,"500 Mill St, Danville, PA 17821, USA"
"Danville",109,"115 Woodbine Ln","","17821","PA","",40.9620436,-76.5735633,"115 Woodbine Ln, Danville, PA 17821, USA"
"Danville",110,"1410 Bloom Rd","","17821","PA","",40.9655872,-76.5918378,"1410 Bloom Rd, Danville, PA 17821, USA"
"Danville",111,"100 Justin Dr","","17821","PA","",40.9646589,-76.5734501,"100 Justin Dr, Danville, PA 17821, USA"
"Danville",112,"2 Rehab Ln","","17821","PA","",40.971587,-76.599469,"2 Rehab Ln, Danville, PA 17821, USA"
"Danville",113,"109 Woodbine Ln","","17821","PA","",40.9628892,-76.5766328,"109 Woodbine Ln, Danville, PA 17821, USA"
"Danville",114,"642 Bloom St","","17821","PA","",40.9650744,-76.6047088,"642 Bloom St, Danville, PA 17821, USA"
"Danville",115,"12 Lower Mulberry St","","17821","PA","",40.9636539,-76.6164385,"12 Lower Mulberry St, Danville, PA 17821, USA"
"Danville",116,"510 Church St","","17821","PA","",40.9638534,-76.6124516,"510 Church St, Danville, PA 17821, USA"
"Milton",117,"130 S Front St","","17847","PA","",41.0178833,-76.8561602,"130 S Front St, Milton, PA 17847, USA"
"Milton",118,"23 S Arch St","","17847","PA","",41.0197105,-76.8528862,"23 S Arch St, Milton, PA 17847, USA"
"Milton",119,"966 Carpenter Rd","","17847","PA","",41.0064339,-76.8275869,"966 Carpenter Rd, Milton, PA 17847, USA"
"Milton",120,"5305 State Route 405","","17847","PA","",41.0019847,-76.8618325,"5305 PA-405, Milton, PA 17847, USA"
"Milton",121,"155 S Arch St","","17847","PA","",41.0176761,-76.8536347,"155 S Arch St, Milton, PA 17847, USA"
"Northumberland",122,"90 Queen St","","17857","PA","",40.8883712,-76.7951881,"90 Queen St, Northumberland, PA 17857, USA"
"Northumberland",123,"751 Duke St","","17857","PA","",40.8939123,-76.8066785,"751 Duke St, Northumberland, PA 17857, USA"
"Northumberland",124,"998 Strawbridge Rd","","17857","PA","",40.9064145,-76.794203,"998 Strawbridge Rd, Northumberland, PA 17857, USA"
"Turbotville",125,"239 Main St","","17772","PA","",41.1008853,-76.7724061,"239 Main St, Turbotville, PA 17772, USA"
"Bloomsburg",126,"2701 New Columbia Blvd Ste 4","","17815","PA","",41.0133767,-76.4075009,"2701 Columbia Blvd #4, Bloomsburg, PA 17815, USA"
"Bloomsburg",127,"812 Central Rd","","17815","PA","",41.022105,-76.420888,"812 Central Rd, Bloomsburg, PA 17815, USA"
"Bloomsburg",128,"410 Glen Ave Ste 302","","17815","PA","",41.0092991,-76.452385,"410 Glenn Ave #302, Bloomsburg, PA 17815, USA"
"Bloomsburg",129,"3151 Columbia Blvd","","17815","PA","",41.016473,-76.397324,"3151 Columbia Blvd, Bloomsburg, PA 17815, USA"
"Bloomsburg",130,"301 East St","","17815","PA","",41.003543,-76.451725,"301 East St, Bloomsburg, PA 17815, USA"
"Bloomsburg",131,"1901 Columbia Blvd Ste 4","","17815","PA","",41.0092574,-76.4219855,"1901 Columbia Blvd #4, Bloomsburg, PA 17815, USA"
"Bloomsburg",132,"2701 Columbia Blvd Unit C","","17815","PA","",41.0133767,-76.4075009,"2701 Columbia Blvd c, Bloomsburg, PA 17815, USA"
"Bloomsburg",133,"6850 Lows Rd Ste 325","","17815","PA","",41.03304,-76.3527359,"6850 Lows Rd #325, Bloomsburg, PA 17815, USA"
"Bloomsburg",134,"100 Lunger Dr","","17815","PA","",41.0087023,-76.4853112,"100 Lunger Dr, Bloomsburg, PA 17815, USA"
"Bloomsburg",135,"660 W Main St","","17815","PA","",40.997456,-76.468206,"660 W Main St, Bloomsburg, PA 17815, USA"
"Bloomsburg",136,"1000 Market St Ste 5","","17815","PA","",40.9938682,-76.4525685,"1000 Market St #5, Bloomsburg, PA 17815, USA"
"Bloomsburg",137,"2401 Columbia Blvd","","17815","PA","",41.0114743,-76.4126798,"2401 Columbia Blvd, Bloomsburg, PA 17815, USA"
"Bloomsburg",138,"1901 Columbia Blvd","","17815","PA","",41.0092574,-76.4219855,"1901 Columbia Blvd, Bloomsburg, PA 17815, USA"
"Bloomsburg",139,"549 Fair St","","17815","PA","",41.008653,-76.4528243,"549 Fair St, Bloomsburg, PA 17815, USA"
"Atlantic City",140,"3113 Atlantic Ave","","08401","NJ","",39.3536512,-74.4494555,"3113 Atlantic Ave, Atlantic City, NJ 08401, USA"
"Atlantic City",141,"1925 Pacific Ave","","08401","NJ","",39.3585111,-74.4342481,"1925 Pacific Ave, Atlantic City, NJ 08401, USA"
"Atlantic City",142,"1401 Atlantic ave Ste 2800","","08401","NJ","",39.3619674,-74.4284733,"1401 Atlantic Ave #2800, Atlantic City, NJ 08401, USA"
"Atlantic City",143,"1401 Atlantic Ave Ste 2400","","08401","NJ","",39.3619674,-74.4284733,"1401 Atlantic Ave #2400, Atlantic City, NJ 08401, USA"
"Atlantic City",144,"1401 Atlantic Ave Ste 2200","","08401","NJ","",39.3619674,-74.4284733,"1401 Atlantic Ave #2200, Atlantic City, NJ 08401, USA"
"Atlantic City",145,"1925 Pacific Ave 1st Fl","","08401","NJ","",39.3585111,-74.4342481,"1925 Pacific Ave, Atlantic City, NJ 08401, USA"
"Atlantic City",146,"1401 Atlantic Ave Ste 2300","","08401","NJ","",39.3619674,-74.4284733,"1401 Atlantic Ave #2300, Atlantic City, NJ 08401, USA"
"Atlantic City",147,"4503 Atlantic Ave","","08401","NJ","",39.346137,-74.462703,"4503 Atlantic Ave, Atlantic City, NJ 08401, USA"
"Atlantic City",148,"3121 Atlantic Ave","","08401","NJ","",39.3536781,-74.4498223,"3121 Atlantic Ave, Atlantic City, NJ 08401, USA"
"Atlantic City",149,"1401 Atlantic Ave Ste 2600","","08401","NJ","",39.3619674,-74.4284733,"1401 Atlantic Ave #2600, Atlantic City, NJ 08401, USA"
"Atlantic City",150,"2009 Bacharach Blvd","","08401","NJ","",39.3649979,-74.4400307,"2009 Bacharach Blvd, Atlantic City, NJ 08401, USA"
"Atlantic City",151,"1401 Atlantic Ave Ste 2800","","08401","NJ","",39.3619674,-74.4284733,"1401 Atlantic Ave #2800, Atlantic City, NJ 08401, USA"
"Atlantic City",152,"1 Borgata Way","","08401","NJ","",39.3783325,-74.4352455,"1 Borgata Way, Atlantic City, NJ 08401, USA"
"Atlantic City",153,"24 S South Carolina Ave","","08401","NJ","",39.3616454,-74.4265841,"24 S South Carolina Ave, Atlantic City, NJ 08401, USA"
"Atlantic City",154,"1401 Atlantic Ave Ste 2500","","08401","NJ","",39.3619674,-74.4284733,"1401 Atlantic Ave #2500, Atlantic City, NJ 08401, USA"
"Atlantic City",155,"2829 Atlantic Ave","","08401","NJ","",39.3547661,-74.4469753,"2829 Atlantic Ave, Atlantic City, NJ 08401, USA"
"Atlantic City",156,"1440 Atlantic Ave","","08401","NJ","",39.3614578,-74.429035,"1440 Atlantic Ave, Atlantic City, NJ 08401, USA"
"Atlantic City",157,"16 S Rhode Island Ave","","08401","NJ","",39.366297,-74.415533,"16 S Rhode Island Ave, Atlantic City, NJ 08401, USA"
"Atlantic City",158,"4401 Ventnor Ave 2nd Fl","","08401","NJ","",39.3479685,-74.4625128,"4401 Ventnor Ave, Atlantic City, NJ 08401, USA"
"Atlantic City",159,"4401 Ventnor Ave 3rd Fl","","08401","NJ","",39.3479685,-74.4625128,"4401 Ventnor Ave, Atlantic City, NJ 08401, USA"
"Atlantic City",160,"3201 Alantic Ave","","08401","NJ","",39.3535082,-74.4502547,"3201 Atlantic Ave, Atlantic City, NJ 08401, USA"
"Atlantic City",161,"1128 Atlantic Ave","","08401","NJ","",39.3630316,-74.4251918,"1128 Atlantic Ave, Atlantic City, NJ 08401, USA"
"Ventnor City",162,"6508 Ventnor Ave","","08406","NJ","",39.337216,-74.4836,"6508 Ventnor Ave, Ventnor City, NJ 08406, USA"
"Ventnor City",163,"6725 Ventnor Ave 2nd Fl","","08406","NJ","",39.3364492,-74.4863253,"6725 Ventnor Ave, Ventnor City, NJ 08406, USA"
"Ventnor City",164,"6601 Ventnor Ave Ste 108","","08406","NJ","",39.3371962,-74.4850609,"6601 Ventnor Ave #108, Ventnor City, NJ 08406, USA"
"Ventnor City",165,"7313 Ventnor Ave","","08406","NJ","",39.3334652,-74.4924715,"7313 Ventnor Ave, Ventnor City, NJ 08406, USA"
"Ventnor City",166,"6725 Ventnor Ave","","08406","NJ","",39.3364492,-74.4863253,"6725 Ventnor Ave, Ventnor City, NJ 08406, USA"
"Ventnor City",167,"4807 Atlantic Ave","","08406","NJ","",39.344452,-74.4659426,"4807 Atlantic Ave, Ventnor City, NJ 08406, USA"
"Ventnor City",168,"6309 Ventnor Ave","","08406","NJ","",39.3385302,-74.4821154,"6309 Ventnor Ave, Ventnor City, NJ 08406, USA"
"Ventnor City",169,"6725 Ventnor Ave Ste C","","08406","NJ","",39.3364492,-74.4863253,"6725 Ventnor Ave c, Ventnor City, NJ 08406, USA"
"Ventnor City",170,"6601 Ventnor Ave Ste 14","","08406","NJ","",39.3371962,-74.4850609,"6601 Ventnor Ave #14, Ventnor City, NJ 08406, USA"
"Brigantine",171,"3005 Revere Blvd","","08203","NJ","",39.3959478,-74.3864776,"3005 Revere Blvd, Brigantine, NJ 08203, USA"
"Brigantine",172,"353 12th St S","","08203","NJ","",39.401552,-74.3699028,"353 12th St S, Brigantine, NJ 08203, USA"
"Brigantine",173,"3000 W Brigantine Ave","","08203","NJ","",39.3946353,-74.3843431,"3000 W Brigantine Ave, Brigantine, NJ 08203, USA"
"Brigantine",174,"1303 W Brigantine Ave","","08203","NJ","",39.4023593,-74.3723925,"1303 W Brigantine Ave, Brigantine, NJ 08203, USA"
"Margate City",175,"9701 Ventnor Ave Ste 201","","08402","NJ","",39.3204203,-74.5177018,"9701 Ventnor Ave #201, Margate City, NJ 08402, USA"
"Margate City",176,"9701 Ventnor Ave","","08402","NJ","",39.3204203,-74.5177018,"9701 Ventnor Ave, Margate City, NJ 08402, USA"
"Margate City",177,"9009 Ventnor Ave","","08402","NJ","",39.3237764,-74.5118917,"9009 Ventnor Ave, Margate City, NJ 08402, USA"
"Absecon",178,"707 White Horse Pike Ste 4D","","08201","NJ","",39.4376466,-74.5190084,"707 White Horse Pike #4d, Absecon, NJ 08201, USA"
"Absecon",179,"200 S New Rd Ste 1","","08201","NJ","",39.4259433,-74.5061061,"200 S New Rd #1, Absecon, NJ 08201, USA"
"Absecon",180,"1127 N New Rd Ste A","","08201","NJ","",39.412585,-74.516003,"1127 N New Rd a, Absecon, NJ 08201, USA"
"Absecon",181,"1129 N New Rd","","08201","NJ","",39.412585,-74.516003,"1129 N New Rd, Absecon, NJ 08201, USA"
"Northfield",182,"611 New Rd","","08225","NJ","",39.3790101,-74.5495813,"611 New Rd, Northfield, NJ 08225, USA"
"Northfield",183,"1124 Shore Rd","","08225","NJ","",39.3700819,-74.5450369,"1124 Shore Rd, Northfield, NJ 08225, USA"
"Northfield",184,"1601 Tilton Rd","","08225","NJ","",39.3699197,-74.5532106,"1601 Tilton Rd, Northfield, NJ 08225, USA"
"Northfield",185,"1601 Tilton Rd Ste C","","08225","NJ","",39.3699197,-74.5532106,"1601 Tilton Rd c, Northfield, NJ 08225, USA"
"Northfield",186,"200 Tilton Rd Ste 5","","08225","NJ","",39.3883832,-74.55844,"200 Tilton Rd #5, Northfield, NJ 08225, USA"
"Northfield",187,"1423 Tilton Rd Ste 4","","08225","NJ","",39.3717377,-74.5534157,"1423 Tilton Rd #4, Northfield, NJ 08225, USA"
"Northfield",188,"331 Tilton Rd","","08225","NJ","",39.3854674,-74.5547382,"331 Tilton Rd, Northfield, NJ 08225, USA"
"Northfield",189,"411 New Rd","","08225","NJ","",39.3803169,-74.5478563,"411 New Rd, Northfield, NJ 08225, USA"
"Northfield",190,"1750 Zion Rd Ste 107","","08225","NJ","",39.3694144,-74.558352,"1750 Zion Rd #107, Northfield, NJ 08225, USA"
"Northfield",191,"802 Tilton Rd","","08225","NJ","",39.3804891,-74.5553311,"802 Tilton Rd, Northfield, NJ 08225, USA"
"Northfield",192,"510 Jackson Ave","","08225","NJ","",39.377638,-74.551212,"510 Jackson Ave, Northfield, NJ 08225, USA"
"Northfield",193,"1750 Zion Rd Ste 108","","08225","NJ","",39.3694144,-74.558352,"1750 Zion Rd #108, Northfield, NJ 08225, USA"
"Northfield",194,"1500 Tilton Rd","","08225","NJ","",39.3709134,-74.5525524,"1500 Tilton Rd, Northfield, NJ 08225, USA"
"Northfield",195,"2400 Shepherd Cir","","08225","NJ","",39.3655774,-74.5634552,"2400 Shepherd Cir, Northfield, NJ 08225, USA"
"Northfield",196,"1701 New Rd","","08225","NJ","",39.3702791,-74.5587594,"1701 New Rd, Northfield, NJ 08225, USA"
